8269,罗坎村站	805,谢村站 
8242,伴河路南站	805,谢村站 
8194,凤尾路站	805,谢村站 
7902,甘竹村站	805,谢村站 
7807,渔珠码头站	805,谢村站 
7780,双井村口站	805,谢村站 
7621,沐陂工业园站	805,谢村站 
7441,永兴村委站	805,谢村站 
7420,金田工业区站	805,谢村站 
7312,小布站	805,谢村站 
6909,萝峰小学站	805,谢村站 
6766,沙田村总站	805,谢村站 
6759,广陈路站	805,谢村站 
6636,小塘北路站	805,谢村站 
6629,蓼江村北站	805,谢村站 
6593,罗溪村委站	805,谢村站 
5841,九太路口站	805,谢村站 
8497,向西大道口站	805,谢村站 
8357,华南花卉市场	805,谢村站 
10612,九龙湖站	805,谢村站 
7808,长平村口站	805,谢村站 
7765,瑞和路北站	805,谢村站 
7750,新墩大道站	805,谢村站 
10502,雅居乐站	805,谢村站 
10272,北村(北太路)站	805,谢村站 
7419,大塘中学站	805,谢村站 
7459,长湴北街站	805,谢村站 
7423,花东派出所站	805,谢村站 
7342,永利路口站	805,谢村站 
7317,两龙市场站	805,谢村站 
7307,广塘站	805,谢村站 
7286,镇一小站	805,谢村站 
7268,新湖大厦站	805,谢村站 
7253,白沙小学站	805,谢村站 
7222,人和华盛南路站	805,谢村站 
7177,人和华成路西站	805,谢村站 
10639,东兴市场站	805,谢村站 
6728,白沙商贸街站	805,谢村站 
6686,南村公园站	805,谢村站 
8658,天丰路口站	805,谢村站 
10199,南云五路站	805,谢村站 
8505,向西大道口站	805,谢村站 
8495,夏茅(白云湖公园)总站	805,谢村站 
7792,天生路站	805,谢村站 
7753,南岗公交站场总站	805,谢村站 
7612,西塱大街站	805,谢村站 
7556,南新大街口站	805,谢村站 
7534,学山塘三街站	805,谢村站 
7417,向南庄站	805,谢村站 
7330,花都区人民医院站	805,谢村站 
6778,竹二村站	805,谢村站 
6772,竹二村站	805,谢村站 
6736,龙塘村站	805,谢村站 
6641,金沙北路站	805,谢村站 
6628,石西路口站	805,谢村站 
6620,鹤岗村站	805,谢村站 
6596,井岗村委站	805,谢村站 
9659,新丰路(布岭村)站	805,谢村站 
5777,锦城花园(东风东)总站②	805,谢村站 
