11081,鱼窝头车站站	868,新康花园站 
11055,马克路站	868,新康花园站 
11048,庙贝村站	868,新康花园站 
11009,樟边路口站	868,新康花园站 
10904,解放路站	868,新康花园站 
10877,工业路站	868,新康花园站 
12134,陈村路口	868,新康花园站 
11100,晒缯涌站	868,新康花园站 
11094,朗晴工业区站	868,新康花园站 
11091,鱼窝头社区中心站	868,新康花园站 
11087,鱼窝头中学站	868,新康花园站 
11084,丹乐食品站	868,新康花园站 
11083,马克路站	868,新康花园站 
11078,万洲村(解放队)站	868,新康花园站 
11049,东升农场站	868,新康花园站 
11022,中教村站	868,新康花园站 
11021,庙青村站	868,新康花园站 
11018,东升农场站	868,新康花园站 
11015,灵山路口南站	868,新康花园站 
10994,小平牌坊站	868,新康花园站 
10987,蚬涌市场站	868,新康花园站 
10986,蚬涌路口站	868,新康花园站 
10978,西丽路站	868,新康花园站 
10970,西村北山站	868,新康花园站 
10968,西城水果批发市场站	868,新康花园站 
10966,为民中路	868,新康花园站 
10965,威乐工业区站	868,新康花园站 
10964,威乐工业区站	868,新康花园站 
10963,汀根小学站	868,新康花园站 
10955,市桥医院(捷进中路)站	868,新康花园站 
10953,石岗西村站	868,新康花园站 
11687,谢石路口站	868,新康花园站 
11686,钟村职校站	868,新康花园站 
11685,屏一桥站	868,新康花园站 
11684,顺德碧桂园站	868,新康花园站 
11683,西二村(西张二路)站	868,新康花园站 
11682,锦绣半岛站	868,新康花园站 
11681,雄峰商城总站	868,新康花园站 
11680,钟村小学站	868,新康花园站 
11679,秀珀厂站	868,新康花园站 
11678,思亲园站	868,新康花园站 
11677,大洲路口站	868,新康花园站 
11676,韦涌村站	868,新康花园站 
11675,三雄极光站	868,新康花园站 
11674,沙墟一村站	868,新康花园站 
11673,百越广场南门站	868,新康花园站 
11672,多州站	868,新康花园站 
11671,永字街站	868,新康花园站 
12048,广日电梯站	868,新康花园站 
12047,谢石路口站	868,新康花园站 
12046,钟村牌坊站	868,新康花园站 
12044,锦绣生态园南门站	868,新康花园站 
12043,碧桂东苑总站	868,新康花园站 
12042,钟村文化广场站	868,新康花园站 
12040,屏一村站	868,新康花园站 
12039,顺德碧桂园站	868,新康花园站 
12038,东乡联发工业区站	868,新康花园站 
12037,西三寸渡口站	868,新康花园站 
12036,龙祥路口站	868,新康花园站 
12035,水门村站	868,新康花园站 
12034,水门村站	868,新康花园站 
12032,南原工业区站	868,新康花园站 
12031,南原工业区站	868,新康花园站 
12030,思亲园站	868,新康花园站 
12029,大洲路口站	868,新康花园站 
12028,大洲村站	868,新康花园站 
12027,三雄极光站	868,新康花园站 
12026,石壁街道办站	868,新康花园站 
12025,市桥街派出所站	868,新康花园站 
12024,食品集团站	868,新康花园站 
12023,禺秀园站	868,新康花园站 
12022,番禺会议中心站	868,新康花园站 
12021,化龙车站	868,新康花园站 
12020,盛龙社区总站	868,新康花园站 
12019,广汽生活区站	868,新康花园站 
12018,利丰大道站	868,新康花园站 
12017,官涌村站	868,新康花园站 
12016,海心村站	868,新康花园站 
12014,明经村站	868,新康花园站 
12013,爱莲村站	868,新康花园站 
12012,山门村站	868,新康花园站 
12011,下山门村站	868,新康花园站 
12010,下山门村站	868,新康花园站 
12009,桥福园(东环路)站	868,新康花园站 
12008,茶东小学站	868,新康花园站 
12007,谭边村站	868,新康花园站 
12006,旧水坑派出所(旧村南路)站	868,新康花园站 
12005,竹山工业区站	868,新康花园站 
12004,竹山村站	868,新康花园站 
12003,金山村委站	868,新康花园站 
12002,桥山村站	868,新康花园站 
12001,大龙路口站	868,新康花园站 
12000,眉山工业区站	868,新康花园站 
11999,旧水坑村委站	868,新康花园站 
11998,金山大道路口站	868,新康花园站 
11997,新水坑站	868,新康花园站 
11996,蔡三村站	868,新康花园站 
11995,榄塘村总站	868,新康花园站 
11994,星海青少宫站	868,新康花园站 
11993,市桥大桥站	868,新康花园站 
11992,市桥医院(西环路)站	868,新康花园站 
11991,环市西环路站	868,新康花园站 
11990,三其大街站	868,新康花园站 
11989,前锋路站	868,新康花园站 
11988,前锋村委站	868,新康花园站 
11987,前锋村委站	868,新康花园站 
11986,低涌村委站	868,新康花园站 
11985,北斗桥底站	868,新康花园站 
11984,北斗渡口(榄灵路)站	868,新康花园站 
11983,石基文化广场站	868,新康花园站 
11982,茶东村(富怡路)站	868,新康花园站 
11981,富怡路中站	868,新康花园站 
12426,大石中心小学站	868,新康花园站 
12423,三村海丰南站	868,新康花园站 
12427,地铁会江站	868,新康花园站 
12421,市国家档案馆(大学城)总站	868,新康花园站 
12414,石井大道北站	868,新康花园站 
12413,石井大道北站	868,新康花园站 
12412,龙湖路口站	868,新康花园站 
12409,石井大道(龙湖)站	868,新康花园站 
12240,五沙三村站	868,新康花园站 
12257,番中路口(南城路)站	868,新康花园站 
12371,花都美居中心站	868,新康花园站 
12267,会江地铁站	868,新康花园站 
12374,花都华南理工大学汽车学院站	868,新康花园站 
12234,华润涂料捷信厂站	868,新康花园站 
12407,螺旋大道西站	868,新康花园站 
12212,五沙小学站	868,新康花园站 
12404,星岛环北路(螺旋二路路口)站	868,新康花园站 
12377,地税局站	868,新康花园站 
12206,金沙人家站	868,新康花园站 
12236,丰田合成配件厂站	868,新康花园站 
12376,地税局站	868,新康花园站 
12375,花都培正学院总站	868,新康花园站 
12405,螺旋四路(标一企业)站	868,新康花园站 
12252,心和村站	868,新康花园站 
12250,南村站	868,新康花园站 
2928,光明村站	868,新康花园站 
2927,光明村站	868,新康花园站 
2926,光大花园站	868,新康花园站 
2921,官堂西站	868,新康花园站 
2919,官堂东站	868,新康花园站 
2916,公仔岑街站	868,新康花园站 
2915,公仔岑街站	868,新康花园站 
2911,公用事业技校站	868,新康花园站 
